influencer_ID,TYPE,post_ID
378335,POSTED,1877001634463122445
378335,POSTED,1891646163346665904
378335,POSTED,1916289352699275991
378335,POSTED,1936582221779537401
378335,POSTED,1961799656992243034
378335,POSTED,1982818418571935339
378335,POSTED,1998047515153732825
51458,POSTED,1972845492329274549
372578,POSTED,1867816507758967945
372578,POSTED,1876235771692088193
372578,POSTED,1922550998111608374
372578,POSTED,1953309745813191284
372578,POSTED,1987403334311813949
56832,POSTED,1783575339356902490
4635,POSTED,1867133105959940245
53850,POSTED,1965487785414517419
50063,POSTED,1724587188429973239
215749,POSTED,1985007234267468697
5189,POSTED,1889362552683261149
381199,POSTED,1802266758738084071
7258,POSTED,1855985787642599468
7415,POSTED,1732396352945810332
96844,POSTED,1901118960244127961
48021,POSTED,1916108872496300549
53238,POSTED,1964762228461006349
97000,POSTED,1936506803799348886
97000,POSTED,1951727808603886693
49993,POSTED,1861185367878540473
47061,POSTED,1669232733446084394
8024,POSTED,2004008603308233038
2561,POSTED,1861190278912904976
57804,POSTED,1598732739682877785
50331,POSTED,1825630428309304072
381167,POSTED,1902450491472995873
3091,POSTED,1979151075634281564
375583,POSTED,1847378491860710793
375583,POSTED,1898959061899991163
375583,POSTED,1942229767795044171
375583,POSTED,1946815753636276181
375583,POSTED,2010494936941369361
47859,POSTED,1822915075040731419
373870,POSTED,1816044445561648553
4263,POSTED,1549159106644584869
3581,POSTED,2000984537219652137
482,POSTED,1786759895557472722
8106,POSTED,1489969442385664627
332261,POSTED,1975015357741508065
47070,POSTED,1750468981918305453
177152,POSTED,2019820315905306349
97123,POSTED,1992448291052465025
375126,POSTED,1487154294787586762
58264,POSTED,1907680844321894329
58264,POSTED,1922030373686923354
52587,POSTED,1887908039525350647
98482,POSTED,1779999210328139638
380020,POSTED,1926351051008781774
2980,POSTED,1799101971636188097
371548,POSTED,1653148543933502237
378856,POSTED,1745213886855719336
372140,POSTED,1856840423865885827
2915,POSTED,1699572280790532537
55581,POSTED,1896465735775860371
137164,POSTED,1665767585198630721
137164,POSTED,1863393368765423792
137164,POSTED,1885826274892911676
53061,POSTED,1998057174928401188
293964,POSTED,1870422790600298215
293556,POSTED,1603862263121770799
293556,POSTED,1604419434590818190
332327,POSTED,1932280232759108768
332327,POSTED,1972090141758214405
58457,POSTED,1893830426294599193
378670,POSTED,1938509214448415911
293774,POSTED,1735275903476789519
176902,POSTED,1792461920780133402
176902,POSTED,1833683217119655688
55581,POSTED,1905233541489064853
53061,POSTED,1903967478745602627
53061,POSTED,1904547875611121447
332261,POSTED,2023573931346024161
379687,POSTED,1822353942949142922
379687,POSTED,1822576049918407141
379687,POSTED,1822760212772449670
376543,POSTED,1395239185140874553
377488,POSTED,1396065478799958627
50155,POSTED,1885585847983844871
50608,POSTED,1578488402163859850
372243,POSTED,1545950249117609890
5472,POSTED,1622087881379998555
293316,POSTED,1519171382864680344
50097,POSTED,1622136841641597062
56052,POSTED,1781304070457524745
379651,POSTED,1622754913681716215
293188,POSTED,1871022832352638178
6582,POSTED,1542952505800065647
56606,POSTED,1583032188785784253
97392,POSTED,1578483941722060296
53972,POSTED,1624820252858695357
53163,POSTED,1622082171320951722
254169,POSTED,1573600861198941875
380246,POSTED,1546035973056696808
58014,POSTED,1634016237821271688
372596,POSTED,1871911969772846314
293373,POSTED,1810206069521475173
54419,POSTED,1788010795679102586
8013,POSTED,1986484436165723139
55270,POSTED,1721487397856083328
5196,POSTED,1664932669803493510
98015,POSTED,1872418861427412515
49689,POSTED,1950274873049782053
57106,POSTED,1634811490920150368
49280,POSTED,1786460400356986447
215554,POSTED,1796635324790023417
254063,POSTED,1785753217877748032
380862,POSTED,1635644798748367562
376868,POSTED,1795160503226266590
376868,POSTED,1795179793778326733
51781,POSTED,1801431441622312219
97126,POSTED,1797284324473542507
137157,POSTED,1793604726619044330
54981,POSTED,1707234326242375685
372377,POSTED,1782129358060889734
49350,POSTED,1745126940098024419
306,POSTED,1867609705184451767
51518,POSTED,1702258369259062200
51518,POSTED,1797382061141774090
47760,POSTED,1758744212712632792
377237,POSTED,1801723071981471872
377448,POSTED,1697060119067659000
58557,POSTED,1739752193496899848
54868,POSTED,1896647431464889558
175807,POSTED,1651622933749534278
97376,POSTED,1753984241789769565
376888,POSTED,2025050137315131773
52903,POSTED,1927803225824556466
2003,POSTED,1576278997259860955
48194,POSTED,1868356953794000143
48194,POSTED,1869686128916092936
373060,POSTED,1887255472688469547
373060,POSTED,1897398720085942154
379279,POSTED,1836471412171003229
380436,POSTED,1541746512403418809
1881,POSTED,1838395357055198676
5896,POSTED,1800409040325736909
56737,POSTED,1874079697957318822
56737,POSTED,1921321067343860443
380014,POSTED,1965995847440940237
57487,POSTED,1683481321618607246
57487,POSTED,1867535874319593407
293541,POSTED,1793904139359386888
50407,POSTED,1710744379389678435
50407,POSTED,1718640973686711441
4292,POSTED,1899027184947785237
375680,POSTED,1916877782588123934
6221,POSTED,1900719910595011823
57379,POSTED,1706815287926792493
57379,POSTED,1748282101776926562
57379,POSTED,1762840412772551047
374210,POSTED,1750276180516552219
136967,POSTED,1636406645422830810
293932,POSTED,1985193232992497610
50561,POSTED,1990900596133067183
51653,POSTED,1851127835956550387
51653,POSTED,1851172277694339357
4983,POSTED,1624924177143692774
4983,POSTED,1631405353173680492
4983,POSTED,1663349294886184867
4983,POSTED,1671301834688850927
4983,POSTED,1674227657083373344
4983,POSTED,1714772773610791866
4983,POSTED,1722761884808351047
4983,POSTED,1742391560866586655
