influencerID,LABEL,Influencer_Name,Number_Of_Followers,Number_of_Followees,Number_Of_Posts,Influencer_Category,Birthdate,Birth_Year,Age,Birthplace
378335,Influencer,Lorena Improta,5074442.0,1966,5127.0,Creators & Celebrities,September 1,1993,29 years old,Brazil
51458,Influencer,Gabi Brandt,1782185.0,302,1803.0,Creators & Celebrities,January 15,1996,26 years old,"Sao Jose do Rio Preto, Brazil"
372578,Influencer,CREME PARA ESTRIAS,555818.0,1951,2045.0,Lifestyle Services,n/a,n/a,n/a,n/a
56832,Influencer,Priscila Simões,389510.0,750,1337.0,Creators & Celebrities,September 18,1992,30 years old,Brazil
4635,Influencer,MORGANA SANTANA,256163.0,509,2029.0,Creators & Celebrities,June 9,1998,24 years old,Brazil
53850,Influencer,F2Freestylers,5607049.0,294,5910.0,,n/a,n/a,n/a,n/a
50063,Influencer,Tom Daley,2054412.0,627,1499.0,Creators & Celebrities,May 21,1994,28 years old,"Plymouth, England"
215749,Influencer,bradleysimmonds,254823.0,1185,2791.0,Creators & Celebrities,September 17,1994,28 years old,England
5189,Influencer,TASHA GREEN,61030.0,1230,1311.0,Publishers,July 2,1991,31 years old,England
381199,Influencer,N S,31778.0,1375,627.0,General Interest,n/a,n/a,n/a,n/a
7258,Influencer,Sophie Hellyer,22260.0,2531,1666.0,Creators & Celebrities,n/a,n/a,n/a,n/a
7415,Influencer,Khloé,80465206.0,143,3365.0,,n/a,n/a,n/a,n/a
96844,Influencer,Vanessa Hudgens,30133386.0,680,2834.0,,December 14,1988,33 years old,"Salinas, CA"
48021,Influencer,Priyanka Chopra,28632169.0,387,2638.0,Creators & Celebrities,July 18,1982,40 years old,"Jamshedpur, India"
53238,Influencer,Adriana Lima,11733397.0,1111,1570.0,,June 12,1981,41 years old,"Salvador, Brazil"
97000,Influencer,Jessica Biel,6977372.0,106,804.0,,March 3,1982,40 years old,"Ely, MN"
49993,Influencer,Nia Sioux,4822183.0,1572,2181.0,Creators & Celebrities,n/a,n/a,n/a,n/a
47061,Influencer,Russell Wilson,3433553.0,34,2344.0,,November 29,1988,34 years old,"Cincinnati, OH"
8024,Influencer,Olivia Culpo,3345820.0,2430,3278.0,,May 8,1992,30 years old,"Cranston, RI"
2561,Influencer,Dr. Holly Hatcher-Frazier,1873159.0,42,1750.0,,n/a,n/a,n/a,n/a
57804,Influencer,Kaycee Rice,1407796.0,707,1971.0,,October 21,2002,20 years old,"Los Angeles, CA"
50331,Influencer,Peter McKinnon,1221232.0,138,612.0,Creators & Celebrities,October 28,1985,37 years old,"Toronto, Canada"
381167,Influencer,Sydney Leroux Dwyer,1100485.0,1363,1802.0,,n/a,n/a,n/a,n/a
3091,Influencer,sung kang,949407.0,1266,989.0,,April 8,1972,50 years old,"Gainesville, GA"
375583,Influencer,Meghan King Edmonds,878563.0,596,2090.0,Creators & Celebrities,September 26,1984,38 years old,"St. Louis, MO"
47859,Influencer,bri emery / designlovefest,787899.0,1160,5803.0,Personal Goods & General Merchandise Stores,n/a,n/a,n/a,n/a
373870,Influencer,Emily Luciano,366355.0,527,2009.0,Creators & Celebrities,November 19,1994,28 years old,Canada
