post_ID,LABEL,Caption,Number_of_Likes,Number_of_Comments
1877001634463122445,Post,Eu e meu chamego de sempre passando pelo seu feed para mostrar o quanto amo meu @100estrias hahaha ❤ #ad 📸 @sermota,46572,236
1891646163346665904,Post,"Minha cara quando falam: ""Lore, tem sobremesa"" 😜😂 hahahaha Sempre com meu @100estrias que vocês já sabem o quanto amo! #ad 📸 @sermota",54989,286
1916289352699275991,Post,Tô de olho em você que ainda não seguiu minha dica e garantiu seu @100estrias 😜 #ad 📸 @sermota,67286,400
1936582221779537401,Post,Pq se nao tiver essa cara vocês sabem que não sou eu kakakak Meu companheiro de sempre:  @100estrias ❤️ Não fico sem! #ad 📸 @sermota,61472,370
1961799656992243034,Post,"Minha cara para quem fala que ainda não comprou o ingresso da turnê do @ofantasticomundodalore 😝Vai começar, viu?! Aproveitando para mostrar meu @100estrias que anda comigo sempre e com certeza irá na mala! Usem meu cupom “lore” para frete grátis ❤️ #ad",38757,289
1982818418571935339,Post,"Mesmo na correria do dia a dia, sempre paro um tempinho para me cuidar! 💕 Por isso que eu ando com o meu @100estrias para cada canto que eu vou. Se cuidem também, meninas! 😍 Usando meu cupom ""lore"", no final da compra, vocês garantem frete grátis (que aqui pro Nordeste, por exemplo, é muito caro). #ad 📸 @sermota",47163,442
1998047515153732825,Post,"Pra ligar o MODE ON com tudooo nessas férias, eu tô andando com o meu @100estrias na mala, na bolsa, na necessaire... por qualquer lugar que eu vou! 😍 E vocês? Estão se cuidando também? Ai ai ai, viu?! Tô de olho! 😜 #ad 📸 @sermota",46928,330
1972845492329274549,Post,"to cuidando mtooo da pele desde o início da gravidez pra prevenir as estrias de quando a barriga estiver grandona, lá no final entre o sétimo e o nono mês! e esse @100estrias é o creme preventivo que tenho usado! so avisando vcs tb que de hoje, até quinta, o frete é grátis! 💙 #ad",156206,399
1867816507758967945,Post,"#Repost @loreimprota with @get_repost
・・・
Esse é meu e não largo, viu? 😂😂 Sempre com meu @100estrias que, como vocês já sabem, sou apaixonada! #ad
📸 @sermota",358,0
1876235771692088193,Post,"#Repost @burnfat with @get_repost
・・・
#Repost @pradogabrielle with @get_repost
・・・
Papo calcinha, segredinho que uso em todos os meus treinos aeróbicos, meu gel termogênico Burn Fat da @100estrias. Um pouquinho do creme na mão, massageia nas áreas que queira perder gordurinhas e medidas, e vá treinar.O Burn Fat é um termogênico em creme que me ajuda a acelar o metabolismo durante as atividades de médio a alto impacto e atua no tratamento da gordura localizada e também na flacidez de pele. Quer coisa melhor? Corre lá no @100estrias e adquira o seu. #ad",330,5
1922550998111608374,Post,"#Repost @loreimprota with @get_repost
・・・
Tô de olho em você que ainda não seguiu minha dica e garantiu seu @100estrias 😜 #ad",304,0
1953309745813191284,Post,"#Repost @loreimprota with @get_repost
・・・
Tô de olho em você que ainda não seguiu minha dica e garantiu seu @100estrias 😜 #ad 📸 @sermota",146,0
1987403334311813949,Post,"#Repost @100estrias with @get_repost
・・・
#repost @thyane Cuidado com a pele após o banho com @100estrias 💗 Pele cuidada e hidratada! #ad",108,0
1783575339356902490,Post,"Boa tarde domingo, seu lindo! 💗
Muito friozinho por aqui, e por aí? ❄️
Amores, deixa eu compartilhar uma dica com vocês, ultimamente, por conta da gravidez, tenho me preocupado muito em hidratar meu corpo, principalmente as regiões do bumbum, coxas, barriga e seios, que são os lugares mais propícios a aparecer as tão temidas estrias. 😩 E o creme que tem estado comigo atualmente é o da @100estrias, ele é um preventivo para estrias com hidratação intensiva, aplico ele 2 vezes ao dia - de manhã e à noite - e até agora esta tudo sob controle, estrias ZERO por aqui! 🙏🏻😂
Mas, lembrando que para um melhor resultado, tenha sempre uma alimentação saudável e beba muita água por dia!!! 💪🏻#FicaDica
E vocês gravidinhas, o que fazem para prevenir as estrias? Vamos compartilhar nossos truques! 🤰🏼
#gravidez #babysimões #pregnant #gravida #priscilasimoes #ad #PubliDoAmor #SóIndicoOqueéBom",28353,148
1867133105959940245,Post,Preciso compartilhar com vocês como estou me cuidando no pós operatório 🌷todos os dias eu uso o creme de prevenção para #estrias da @100estrias ❤️ e JURO não to com NENHUMA estria mesmo ✨ amando os resultados! #ad,14156,133
1965487785414517419,Post,"You know that the socials never stop guys – so we’ve teamed up with @adidasLondon to launch a revolutionary new product… 🤳🔥👀
Watch our Story now to see more! 😂
No Fakers. Creators Only.
#DareToCreate",92423,208
1724587188429973239,Post,"Getting my cardio on, with my weekly tempo run! Never stop making strides! 🏃👟🙌🏻
•
•
•
#UltraBoost @adidasrunning @adidaslondon #CreatedWithAdidas",40980,77
1985007234267468697,Post,"New adidas Ultraboost 19 showcases the future of running with a new Ultraboost design, giving runners maximum energy return for a highly responsive experience
Reconstructed from 17 pieces to just 4 cutting-edge components, adidas reinvents its most iconic running shoe
adidas celebrates how runners are reimagining the sport and transforming themselves with its ‘Recode Running’ campaign
The adidas Ultraboost 19 available now 🙌🏼🔥 #ultraboost #ultraboost19 #heretocreate @adidasrunning @adidaslondon 🔥",2553,19
1889362552683261149,Post,Running my first ever 10k with @adidaslondon tomorrow for their City Run Shoreditch. I haven’t run for a long time so I’m excited to be pushing myself towards a new goal and I can’t wait to get to that finish line knowing that this is something I never thought I would do and now have! #TakeChargeLDN #AdidasRunnersLDN #ad,1906,15
1802266758738084071,Post,"London pals, @adidaslondon have opened the Football Creator Base on for the next few days ⚽️😎👑 vid inspired by the Telstar 18 official World Cup match ball #heretocreate #createdwithadidas #ad",252,10
1855985787642599468,Post,"It took me just two minutes to collect all these cigarette butts at the Wiggle X Adidas Parley Beach Clean. Did you know cigarette butts are made of plastic? I also found plastic bottles, old lighters, plastic cutlery, straws and cotton ear bud sticks.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Most of us are privileged enough to have the power to say no to all these items and opt for more sustainable alternatives so that they don’t end up in our oceans.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Thanks @Wiggle_Sport and @TheFinalStrawSolent for organising this beach clean. It's crucial that powerful brands like @adidaslondon recognise the importance of raising awareness of plastic pollution and begin to turn the tide on fast fashion.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#WiggleBeachClean #WiggleGetThere #AdidasParley #RunForTheOceans #UltraBoost #2minutebeachclean
#fashionrevolution #ad",565,29
1732396352945810332,Post,Had the most unbelievable baby shower - we felt so much love! #ad So grateful to be surrounded by a beautiful support system. And special thank you to @Amazon for helping me bring it all together! More pictures to come! 💗 #AllOnAmazon #AmazonBabyRegistry,4289037,18116
1901118960244127961,Post,#ad When Alice grows to be too big for the house 👻🖤 I loved creating my incredible Alice in Wonderland Halloween costume out of my @amazon box! #AmazonPrime #Boxtumes #sponsored,336778,848
1916108872496300549,Post,"I had so much fun building a wedding registry guide with @amazon. They have everything that you need in one place! Amazon has also made a $100,000 donation to UNICEF, a charity that is extremely important to me!!! For wedding registry inspo, take a look at my guide (link in bio)! #AllOnAmazon #AmazonWeddingRegistry #ad @amazonhome",1737608,6028
1964762228461006349,Post,Want to see what helps me keep my eye on the prize? 🥊 Link in bio for my fitness storefront on @amazon. #teamlima #ad,310473,2790
1936506803799348886,Post,"If you’re looking for a great 🎁, I got you! This yoga wheel is one of my @Gaiam Gift Picks for @Amazon Sports and it’s incredible — it releases tension along your spine, helps you with core and balancing poses, and can make for a some Insta-worthy pics (If I do say so ma-self!) #JBxGAIAM - link in my bio for more great picks!☝🏼#ad",113703,851
1951727808603886693,Post,"This year, I’m leaning on my friends, fam, and (literally) this yoga ball to keep my fitness resolutions on track. Check out my @gaiam picks for @amazon New Year New You #ad (link in bio☝🏼)",332764,2070
1861185367878540473,Post,Did you all know that nearly 1 in 5 American girls have either missed school or left early because they didn’t have access to the products they needed for their period? @Always_Brand is on a mission to #EndPeriodPoverty by teaming up with @amazon and we need your help! Every purchase of Always pads from now until September 8th will trigger an additional donation to girls in need. Go stock up now on @amazon and maybe even purchase some product to make a donation of your own. #ad,53525,212
1669232733446084394,Post,"Gotta look good for the holidays, guys! Clean up your look with help from @Braun_Grooming. The #Series9 makes for a great holiday gift and you guys can buy it now from @amazon. Use promo code 1515BRAUNHOL. Link in bio. 
#BraunStyling #ad",28813,177
2004008603308233038,Post,Bubble trouble 🛁🛁 Launching the first @amazon skincare brand #belei with my sister last night @sophiaculpo #onlyonamazon #ad,55874,203
1861190278912904976,Post,"Girls all over the US head back to school this week but nearly 1 in 5 American girls will have either missed school or left early because they didn’t have access to the products they needed for their period? As a mom, this broke my heart. But together we can help change this! @Always_Brand is on a mission to #EndPeriodPoverty by teaming up with @amazon and we need your help! Every purchase of Always pads from now until September 8th will trigger an additional donation to girls in need. Go stock up now on @amazon and maybe even purchase some product to make a donation of your own. #ad",13641,110
1598732739682877785,Post,How do you show your team spirit? I show mine with these cool NFL Juniors shirts and apparel @amazon Check out my IG story for more 👆🏻🏈 #ad #FootballFanStyle,27407,116
1825630428309304072,Post,It's @amazon prime day and i’ve already been adding so many things to my cart and I can't stop LOL. Correctly guess what’s in the box and it’s yours 😉#primeday #ad,93964,4016
1902450491472995873,Post,"#ad Now that Cassius is 2 years old, potty training has become a big focus in our family.  We’ve been a @huggies family from the beginning, so of course we turned to @huggies #PullUps when it was time to take the next step.  Our first step was to get Cassius excited about the process.  Cassius loves cartoons so he was so excited when he saw Mickey Mouse on his Pull-Up.  And even more exciting for mom and dad - @huggies is available on @amazon!  Click the link in my bio to explore all of @huggies #PullUps offerings.",23289,22
1979151075634281564,Post,Any questions on how to charge the @audi #etron ... Electrify America is adding hundreds of charging stations across the country this year. And @amazon offers you the option to order a home charging station to be installed for you via Prime (it’s that easy). #ad,45130,220
1847378491860710793,Post,"I can’t believe I’m saying this but I’m amazed by how much poop is discussed now that I have kids! I’ve used @huggies diapers with Aspen since day one, so naturally, I’ve stayed with Huggies as she’s grown and now use them with the twins. Plus, I love how easy and convenient it is to jump on @amazon to order them – from the Little Snugglers to the Pull-Ups! Check out my newest blog post (link in bio) for more “poop talk” 🙈 #ad #amazon #huggies #pullups #meghansmusthaves",10103,195
